Volcano_Name,Volcano_Image,Volcano_Type,Country,Region,Subregion,epoch_period,Last_Eruption,Summit_and_Elevatiuon,Latitude,Longitude,population_within_5km,population_within_10km,population_within_30km,population_within_100km
Jordan Craters,https://volcano.si.edu/gallery/photos/GVP-10295.jpg,Volcanic field,United States,Canada and Western USA,USA (Oregon),holocene,1250 BCE,"1473 m, 4833 ft",43.147°N,117.46°W,0,0,28,232946
Jumaytepeque,https://volcano.si.edu/gallery/photos/GVP-11851.jpg,Stratovolcano,Guatemala,México and Central America,Guatemala,holocene,Unknown - Evidence Uncertain,"1802 m, 5912 ft",14.34°N,90.271°W,11369,79805,429177,7084813
Kaba,https://volcano.si.edu/gallery/photos/GVP-06320.jpg,Stratovolcano,Indonesia,Indonesia,Sumatra,holocene,2000 CE,"1940 m, 6365 ft",3.522°S,102.615°E,278,15352,333750,2608259
Kadovar,https://volcano.si.edu/gallery/photos/GVP-11107.jpg,Stratovolcano,Papua New Guinea,Melanesia and Australia,Northeast of New Guinea,holocene,2022 CE,"365 m, 1198 ft",3.608°S,144.588°E,0,0,1341,114708
Kagamil,https://volcano.si.edu/gallery/photos/GVP-08541.jpg,Stratovolcano,United States,Alaska,Aleutian Islands,holocene,1929 CE,"893 m, 2930 ft",52.974°N,169.72°W,0,0,0,7
Kaguyak,https://volcano.si.edu/gallery/photos/GVP-05305.jpg,Lava dome(s),United States,Alaska,Alaska Peninsula,holocene,3850 BCE,"901 m, 2956 ft",58.608°N,154.028°W,0,0,0,60
Kaikata Seamount,https://volcano.si.edu/includes/images/noimage.jpg,Submarine,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",holocene,Unknown - Unrest / Holocene,"-165 m, -541 ft",26.667°N,140.929°E,0,0,0,0
Kaikohe-Bay of Islands,https://volcano.si.edu/gallery/photos/GVP-00331.jpg,Volcanic field,New Zealand,New Zealand to Fiji,New Zealand,holocene,400 CE,"388 m, 1273 ft",35.3°S,173.9°E,13786,13786,18679,133899
Kaitoku Seamount,https://volcano.si.edu/includes/images/noimage.jpg,Submarine,Japan,"Japan, Taiwan, Marianas","Izu, Volcano, and Mariana Islands",holocene,1984 CE,"-95 m, -312 ft",26.127°N,141.102°E,0,0,0,160
Kalatungan,https://volcano.si.edu/gallery/photos/GVP-12605.jpg,Stratovolcano,Philippines,Philippines and SE Asia,Mindanao,holocene,Unknown - Evidence Uncertain,"2824 m, 9265 ft",7.95°N,124.8°E,418,27005,359527,5273061
Kama'ehuakanaloa,https://volcano.si.edu/gallery/photos/GVP-03400.jpg,Submarine,United States,Hawaii and Pacific Ocean,Hawaiian Islands,holocene,1996 CE,"-975 m, -3199 ft",18.92°N,155.27°W,0,0,0,105623
Kambalny,https://volcano.si.edu/gallery/photos/GVP-05950.jpg,Stratovolcano,Russia,Kamchatka and Mainland Asia,Kamchatka Peninsula,holocene,2017 CE,"2116 m, 6942 ft",51.306°N,156.875°E,0,20,572,4525
